Sector;Entidad;Beneficiario;ValorContrato
HACIENDA - FONDO ADAPTACION;FONDO ADAPTACION;FIDEICOMISOS SOCIEDAD FIDUCIARIA DE OCCIDENTE SA;645000000000
EDUCACION;MINISTERIO EDUCACION NACIONAL - GESTION GENERAL;FIDUCIARIA LA PREVISORA SA;457638616010
EDUCACION;MINISTERIO EDUCACION NACIONAL - GESTION GENERAL;CONSORCIO FFIE ALIANZA BBVA;444472623820
VIVIENDA- CIUDAD Y TERRITORIO;FONDO NACIONAL DE VIVIENDA - FONVIVIENDA;FIDUCIARIA DE OCCIDENTE SA FIDUOCCIDENTE SA;405000000000
EDUCACION;MINISTERIO EDUCACION NACIONAL - GESTION GENERAL;ICETEX;404584263916
EDUCACION;MINISTERIO EDUCACION NACIONAL - GESTION GENERAL;FIDUCIARIA LA PREVISORA SA;356970276879
PRESIDENCIA DE LA REPUBLICA;PRESIDENCIA DE LA REPUBLICA - GESTION GENERAL;CONSORCIO FCP 2018;335149115910
REGISTRADURIA;REGISTRADURIA NACIONAL DEL ESTADO CIVIL - GESTION GENERAL;UNION TEMPORAL DISTRIBUCION PROCESOS ELECTORALES 2018;331455384212
VIVIENDA- CIUDAD Y TERRITORIO;FONDO NACIONAL DE VIVIENDA - FONVIVIENDA;CONSORCIO ALIANZACOLPATRIA;299859000000
EDUCACION;MINISTERIO EDUCACION NACIONAL - GESTION GENERAL;FIDUCIARIA LA PREVISORA SA;293691286448
TRANSPORTE;INSTITUTO NACIONAL DE VIAS;UNION TEMPORAL DISICO COMSA GYC;285800000000
EDUCACION;MINISTERIO EDUCACION NACIONAL - GESTION GENERAL;FIDUCIARIA LA PREVISORA SA;263649650690
REGISTRADURIA;REGISTRADURIA NACIONAL DEL ESTADO CIVIL - GESTION GENERAL;UNION TEMPORAL SOLUCIONES INFORMATICAS ELECTORALES 2018;262416973099
